Name,Devanagari,Sandhi,English,Etymology,YogaSeries,Before,After,Ashtanga,Yin,Baptiste,SeriesHot,Categories,Open,OpenAsana,Stable,StableAsana,Preparation,Counterposes
Ardha Matsyendrasana,अर्ध मत्स्येन्द्रासन​,Ardha Matsyendrāsana,Half Lord of the Fishes Pose,Ardha = half; Matsyendra = lord of the fishes,nāḍī śodhana,Bharadvājāsana,Ardha Matsyendrāsana,x,,,,6,"Hip extensors, external rotators of the leg, obliques, back extensors, chest, internal rotators of the arm, neck rotators.","[[Baddhakoṇāsana B]], [[Mṛgāsana]], Eka Pada Raj Koundinyasana Prep, [[Jānuśīrṣāsana A]], [[Marīchyāsana C]], [[Padmāsana]], [[Parivṛttatrikoṇāsana]], [[Parivṛttotkaṭāsana]], [[Supta Matsyendrāsana]], [[Vīrabhadrāsana A]].","Hip flexors, hip adductors, obliques, knee flexors, shoulder retractors and protractors.","[[Adhomukhaśvānāsana]], [[Baddhakoṇāsana B]], [[Bālāsana]], [[Garuḍāsana]], [[Gomukhāsana B]], [[Supta Matsyendrāsana]], [[Marīchyāsana A]] and C, [[Padmāsana]], [[Parivṛttapārśvakoṇāsana]], [[Parivṛttatrikoṇāsana]], [[Prasāritapādottānāsana A]].","Deeper twists, [[Pārśvabakāsana]], [[Kouṇḍinyāsana A]], [[Kouṇḍinyāsana A]], [[Aṣṭavakrāsana]].","[[Apānāsana]], [[Ānandabālāsana]], [[Daṇḍāsana]], [[Paścimottānāsana A]], [[Jānuśīrṣāsana A]]."
Baddha Hasta Sirsasana A,बद्धहस्तशीर्षासन A,Baddhahastaśīrṣāsana A,Bound Hand Headstand A,Baddha = bound; Hasta = hand; Śīrṣa = head,nāḍī śodhana,Muktahastaśīrṣāsana C,Baddhahastaśīrṣāsana A,x,,,,,,,,,,
Baddha Hasta Sirsasana B,बद्धहस्तशीर्षासन B,Baddhahastaśīrṣāsana B,Bound Hand Headstand B,Baddha = bound; Hasta = hand; Śīrṣa = head,nāḍī śodhana,Baddhahastaśīrṣāsana A,Baddhahastaśīrṣāsana B,x,,,,,,,,,,
Baddha Hasta Sirsasana C,बद्धहस्तशीर्षासन C,Baddhahastaśīrṣāsana C,Bound Hand Headstand C,Baddha = bound; Hasta = hand; Śīrṣa = head,nāḍī śodhana,Baddhahastaśīrṣāsana B,Ūrdhva Dhanurāsana,x,,,,,,,,,,
Bakasana A,बकासन A,Bakāsana A,Crane Pose A,Baka = crane,nāḍī śodhana,Supta Vajrāsana,Bakāsana A,x,,,,,,,,,,
Bakasana B,बकासन B,Bakāsana B,Crane Pose B,Baka = crane,nāḍī śodhana,Bakāsana A,Bakāsana B,x,,x,Vitalidad,10,"Wrist flexors, shoulder elevators and retractors, back extensors, hip extensors, ankle dorsiflexors.","[[Bālāsana]], [[Bharmanāsana]], [[Garuḍāsana]], [[Mālāsana]], [[Marīchyāsana A]], [[Prasāritapādottānāsana A]], [[Ekapādabakāsana A]], [[Uttānāsana]].","Wrist synergists, elbow synergists, shoulder stabilizers (emphasis flexors, protractors), external rotators of the arm, chest, abdominals, hip adductors and flexors, pelvic floor, knee flexors.","[[Adhomukhaśvānāsana]], [[Bharmanāsana]], [[Chaturāṅgadaṇḍāsana]], [[Garuḍāsana]], [[Mālāsana]], [[Marīchyāsana A]], [[Nāvāsana]], [[Phalakāsana]].","[[Tiṭṭibhāsana A]], [[Pārśvabakāsana]], [[Kouṇḍinyāsana A]], [[Śīrṣāsana B]] series, transition to pose by hopping from [[Adhomukhaśvānāsana]].","[[Vinyāsa]], [[Ūrdhvamukhaśvānāsana]], [[Adhomukhaśvānāsana]], [[Bhuja]], [[Bālāsana]]."
Bharadvajasana,भरद्वाजासन​,Bharadvājāsana,Sage Bharadvaja’s Twist,Named after Sage Bharadvaja,nāḍī śodhana,Bakāsana B,Bharadvājāsana,x,x,,,6,"Padma leg: hip adductors, internal rotators of the leg. Vira leg: external rotators of the leg, knee flexors, foot dorsiflexors. Hip extensors, obliques, chest. Bound arm: Shoulder flexors, external rotators of the arm. Shoulder elevators, neck rotators.","[[Ardhabaddhapadmottānāsana]] Prep, [[Bharmanāsana]], [[Gomukhāsana B]] arms, Jathara Parivarttanasana, [[Padmāsana]], [[Parivṛttotkaṭāsana]], [[Vīrabhadrāsana A]].","Pelvic floor, hip flexors, knee flexors, obliques, shoulder extensors.","[[Ardha Matsyendrāsana]], [[Baddhakoṇāsana B]], [[Padmāsana]], [[Parivṛtta Hasta Pādāṅguṣṭhāsana]], [[Parivṛttapārśvakoṇāsana]], [[Parivṛttatrikoṇāsana]], [[Parivṛttotkaṭāsana]], [[Ūrdhvamukhaśvānāsana]], [[Vīrabhadrāsana A]].","[[Tryaṅgamukhaikapāda Paścimottānāsana]], [[Krouncāsana]], [[Ardhabaddhapadmapaścimottānāsana]].","[[Ūrdhvamukhaśvānāsana]], [[Adhomukhaśvānāsana]], [[Daṇḍāsana]], [[Paścimottānāsana A]], [[Apānāsana]], [[Bālāsana]]."
Bhekasana,भेकासन​,Bhekāsana,Frog Pose,Bheka = frog,nāḍī śodhana,Śalabhāsana B,Bhekāsana,x,,,,13,"Hip flexors, knee extensors, foot dorsiflexors, abdominals, chest, shoulder elevators and flexors, throat.","[[Rājakapotāsana]], [[Dhanurāsana]], [[Prasāritapādottānāsana C]] arms, [[Śalabhāsana A]] and [[Śalabhāsana B]], [[Uṣṭrāsana]], [[Vīrabhadrāsana A]].","Back extensors, transversus abdominis, pelvic floor, shoulders (emphasis flexors, protractors and adductors), neck.","[[Rājakapotāsana]], [[Dhanurāsana]], [[Pūrvottānāsana]], [[Śalabhāsana A]] and [[Śalabhāsana B]], [[Ūrdhva Dhanurāsana]], [[Ūrdhvamukhaśvānāsana]], [[Uṣṭrāsana]].","[[Vajrāsana A]], [[Naṭarājāsana A]], [[Ekapādarājakapotāsana]], [[Ūrdhva Dhanurāsana]].","[[Bālāsana]], [[Ardha Matsyendrāsana]], [[Adhomukhaśvānāsana]], [[Daṇḍāsana]], [[Paścimottānāsana A]]."
Dhanurasana,धनुरासन​,Dhanurāsana,Bow Pose,Dhanu = bow,nāḍī śodhana,Bhekāsana,Dhanurāsana,x,,x,Apertura,13,"External rotators of the leg, hip flexors, abdominals, chest, shoulder protractors and extensors, internal rotators of the arm, elbow flexors, wrist flexors.","[[Añjanēyāsana]], [[Ālāsana]], [[Bharmanāsana]], [[Śalabhāsana A]] and [[Śalabhāsana B]], [[Ūrdhva Dhanurāsana]], [[Ūrdhvamukhaśvānāsana]], [[Vīrabhadrāsana A]].","Back extensors, hip extensors and adductors, transversus abdominis, shoulder retractors, knee extensors, foot dorsiflexors.","[[Rājakapotāsana]], [[Pūrvottānāsana]], [[Śalabhāsana A]] and [[Śalabhāsana B]], [[Ūrdhva Dhanurāsana]].","[[Pārśva Dhanurāsana]], [[Bhekāsana]],[[Rājakapotāsana]], [[Uṣṭrāsana]], [[Laghu Vajrāsana]].","[[Bālāsana]], [[Apānāsana]], [[Ardha Matsyendrāsana]], [[Supta Matsyendrāsana]]."
Dwi Pada Sirsasana,द्विपादशीर्षासन,Dvipādaśīrṣāsana,Two-Legged Headstand,Dvi = two; Pāda = foot; Śīrṣa = head,nāḍī śodhana,Ekapādaśīrṣāsana,Dvipādaśīrṣāsana,x,,,,13,"Hip adductors and extensors, internal rotators of the leg, back extensors, shoulder retractors and elevators.","[[Ānandabālāsana]], [[Ardhabaddhapadmottānāsana]], [[Ardhabaddhapadmapaścimottānāsana]], [[Agnistambhāsana]], [[Baddhakoṇāsana B]], [[Baddhapadmāsana]], [[Bhujapīḍāsana]], [[Ekapādarājakapotāsana]], [[Ekapādaśīrṣāsana]], [[Gomukhāsana B]], [[Karṇapīḍāsana]], [[Kūrmāsana]], [[Mālāsana]], [[Marīchyāsana C]], [[Pādahastāsana]], [[Prasāritapādottānāsana A]], [[Prasāritapādottānāsana B]], and [[Prasāritapādottānāsana D]], [[Upaviṣṭhakoṇāsana A]], [[Ekapādabakāsana A]]","Hip flexors and adductors, pelvic floor, abdominals, knee flexors, shoulder retractors and adductors.","[[Agnistambhāsana]], [[Baddhakoṇāsana B]], [[Ekapādarājakapotāsana]], [[Ekapādaśīrṣāsana]], [[Karṇapīḍāsana]], [[Marīchyāsana A]], [[Padmāsana]], [[Prasāritapādottānāsana A]], [[Prasāritapādottānāsana B]], and [[Prasāritapādottānāsana D]], [[Ubhayapādāṅguṣṭhāsana]], [[Upaviṣṭhakoṇāsana A]], [[Ūrdhvamukhapaścimottānāsana]], [[Ekapādabakāsana A]].","[[Suptakūrmāsana]], [[Cakorāsana]].","[[Apānāsana]], [[Bālāsana]]."
