Name,Devanagari,Sandhi,English,Etymology,YogaSeries,Before,After,Ashtanga,Yin,Baptiste,SeriesHot,Categories,Open,OpenAsana,Stable,StableAsana,Preparation,Counterposes,ID
Adho Mukha Vrksasana,अधोमुखवृक्षासन,Adhomukhavṛkṣāsana,Tree Pose,Vṛkṣa = tree,tṛtīya śreṇī,Ekapādarājakapotāsana,Ūrdhva Dhanurāsana,x,,,,1,"Wrist flexors, shoulder extensors, back extensors, hip flexors, knee flexors.","[[Adhomukhaśvānāsana]], [[Bharmanāsana]], [[Piñchamayūrāsana]], [[Tāḍāsana]], [[Phalakāsana]], [[Ūrdhva Dhanurāsana]]. For arms and shoulders, these respective arm forms: [[Tāḍāsana]], [[Gomukhāsana B]], [[Garuḍāsana]].","Wrist synergists, elbow synergists, shoulder stabilizers (emphasis flexors, protractors, retractors), obliques, abdominals, back extensors, hip flexors, adductors, and extensors, internal rotators of the leg, knee extensors.","[[Adhomukhaśvānāsana]], [[Ūrdhvamukhaśvānāsana]], [[Phalakāsana]], [[Piñchamayūrāsana]], [[Baddhakoṇāsana A]], [[Ūrdhva Dhanurāsana]], [[Śīrṣāsana]], [[Nāvāsana]], [[Chaturāṅgadaṇḍāsana]], [[Tāḍāsana]], [[Vasiṣṭhāsana]].","[[Viparīccakrāsana]]; [[Adhomukhavṛkṣāsana]] to [[Chaturāṅgadaṇḍāsana]], or [[Ūrdhva Dhanurāsana]], [[Ūrdhvakukkutāsana]]; ticktocks, [[Śīrṣāsana]], [[Piñchamayūrāsana]].","[[Bālāsana]], [[Uttānāsana]], [[Bhuja]], [[Śavāsana]].",001
Adho Mukha Svanasana,अधोमुखश्वानासन,Adhomukhaśvānāsana,Downward-Facing Dog Pose,Adho = downward; Mukha = face; Śvāna = dog; Āsana = posture,,,,,,x,Despertar,2,"Calves, knee flexors, hip extensors, elbow flexors, shoulder extensors, shoulder retractors.","[[Ardhottānāsana]], [[Bharmanāsana]], [[Uttānāsana]], [[Anāhatāsana]]. For arms and shoulders, these respective arm forms: [[Tāḍāsana]], [[Gomukhāsana B]], [[Garuḍāsana]].","Intrinsic foot muscles, internal rotators of the leg, hip flexors and adductors, back extensors, transversus abdominis, shoulder stabilizers (emphasis protractors, flexors, extensors), external rotators of the arm, elbow extensors, wrist flexors.","[[Añjanēyāsana]], [[Bharmanāsana]], [[Phalakāsana]], [[Baddhakoṇāsana A]], [[Tāḍāsana]], [[Uttānāsana]]. Modify this pose with the hands placed hip height on a wall, hips at a right angle, torso neutral, and arms extended fully.","General conditioning pose; good prep for standing poses, arm balances, and full inversions, including [[Bakāsana B]], [[Adhomukhavṛkṣāsana]], [[Śīrṣāsana]]; [[Uttānāsana]].","[[Bālāsana]], [[Apānāsana]], [[Supta Matsyendrāsana]], [[Sarvāṅgāsana]], [[Śavāsana]].",002
Agnistambhasana,अग्निस्तम्भासन,Agnistambhāsana,Fire Log Pose,Agni = fire; Stambha = pillar; Āsana = posture,,,,,x,x,Apertura,3,"Hip adductors and extensors, internal rotators of the leg, back extensors, calves.","[[Ardhabaddhapadmottānāsana]] Prep, [[Baddhakoṇāsana B]], [[Ekapādarājakapotāsana]] Prep, [[Gomukhāsana B]], [[Upaviṣṭhakoṇāsana A]].","Pelvic floor, transversus abdominis, knee flexors, foot dorsiflexors.","[[Ardhacandrāsana]], [[Baddhakoṇāsana B]], [[Bālāsana]], [[Bharmanāsana]], [[Mālāsana]], [[Paścimottānāsana A]], [[Prasāritapādottānāsana A]],[[Prasāritapādottānāsana B]] and [[Prasāritapādottānāsana D]].","[[Ekapādarājakapotāsana]], [[Naṭarājāsana A]].",Simple twist followed by long forward bends.,003
Anahatasana,अनाहतासन,Anāhatāsana,Heart Melting Pose,Anāhata = unstruck (referring to the heart chakra); Āsana = posture,,,,,x,,,3,"Elbow flexors, shoulder extensors, retractors, and elevators. Chest, abdominals, hip extensors.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]], [[Ardhottānāsana]], [[Ālāsana]], [[Bālāsana]], [[Bharmanāsana]], [[Garuḍāsana]], [[Gomukhāsana B]], [[Tāḍāsana]], [[Utkaṭāsana]].","Knee flexors. Hip flexors and adductors. Back extensors, shoulder extensors, protractors, and retractors, external rotators of the arm, elbow extensors, wrist flexors.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]], [[Ardhottānāsana]], [[Ālāsana]], [[Bālāsana]], [[Bharmanāsana]], [[Baddhakoṇāsana A]], [[Utkaṭāsana]], [[Mālāsana]], [[Pārśvottānāsana]].","Poses requiring open shoulders, external rotation of the arms: [[Adhomukhaśvānāsana]], [[Adhomukhavṛkṣāsana]], [[Ūrdhva Dhanurāsana]]; [[Gomukhāsana B]] arms.",,004
Ardha Matsyendrasana,अर्ध मत्स्येन्द्रासन​,Ardha Matsyendrāsana,Half Lord of the Fishes Pose,Ardha = half; Matsyendra = lord of the fishes,nāḍī śodhana,Bharadvājāsana,Ardha Matsyendrāsana,x,,,,6,"Hip extensors, external rotators of the leg, obliques, back extensors, chest, internal rotators of the arm, neck rotators.","[[Baddhakoṇāsana B]], [[Mṛgāsana]], Eka Pada Raj Koundinyasana Prep, [[Jānuśīrṣāsana A]], [[Marīchyāsana C]], [[Padmāsana]], [[Parivṛttatrikoṇāsana]], [[Parivṛttotkaṭāsana]], [[Supta Matsyendrāsana]], [[Vīrabhadrāsana A]].","Hip flexors, hip adductors, obliques, knee flexors, shoulder retractors and protractors.","[[Adhomukhaśvānāsana]], [[Baddhakoṇāsana B]], [[Bālāsana]], [[Garuḍāsana]], [[Gomukhāsana B]], [[Supta Matsyendrāsana]], [[Marīchyāsana A]] and C, [[Padmāsana]], [[Parivṛttapārśvakoṇāsana]], [[Parivṛttatrikoṇāsana]], [[Prasāritapādottānāsana A]].","Deeper twists, [[Pārśvabakāsana]], [[Kouṇḍinyāsana A]], [[Kouṇḍinyāsana A]], [[Aṣṭavakrāsana]].","[[Apānāsana]], [[Ānandabālāsana]], [[Daṇḍāsana]], [[Paścimottānāsana A]], [[Jānuśīrṣāsana A]].",005
Ardha Baddha Padmottanasana,अर्धबद्धपद्मोत्तानासन,Ardhabaddhapadmottānāsana,Half Bound Lotus Forward Bend,Ardha = half; Baddha = bound; Padma = lotus; Uttāna = intense stretch,yoga cikitsā,Utthitahastapādāṅguṣṭhāsana C,Ardhabaddhapadmottānāsana,x,,,,8,"Standing leg: knee flexors, hip extensors. Folded leg: knee extensors, hip adductors, internal rotators of the leg. Back extensors, shoulder extensors of bound arm.","[[Adhomukhaśvānāsana]], [[Agnistambhāsana]], [[Gomukhāsana B]], [[Jānuśīrṣāsana A]], [[Padmāsana]], [[Paścimottānāsana A]], [[Uttānāsana]], [[Vṛkṣāsana]].","Standing leg: intrinsic muscles of foot, knee extensors, hip abductors, adductors and extensors, internal rotators of leg.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Jānuśīrṣāsana A]], [[Padmāsana]], [[Pārśvottānāsana]], [[Paścimottānāsana A]], [[Tāḍāsana]], [[Uttānāsana]], [[Vṛkṣāsana]].","Other [[Padmāsana]] poses: [[Kukkuṭāsana]], [[Ardhabaddhapadmapaścimottānāsana]]; [[Ardhabaddhapadmapaścimottānāsana]] to [[Chaturāṅgadaṇḍāsana]] (keeping Half Lotus positioning), to [[Adhomukhaśvānāsana]], hop forward to [[Tāḍāsana]]; [[Bharadvājāsana]].","[[Tāḍāsana]], [[Vinyāsa]], [[Ūrdhvamukhaśvānāsana]], [[Adhomukhaśvānāsana]].",006
Ardhacandrasana,अर्धचन्द्रासन,Ardhacandrāsana,Half Moon Pose,"Ardha = half, partial; Chandra = moon, specifically the crescent moon",,,,,,,,1,"Standing leg: knee flexors, hip extensors and adductors, internal rotators of the leg. Extended leg: knee flexors, hip flexors. Shoulder elevators, neck extensors and rotators.","[[Adhomukhaśvānāsana]], [[Utthitahastapādāṅguṣṭhāsana A]], [[Prasāritapādottānāsana D]], [[Utthitapārśvakoṇāsana]], [[Utthitatrikoṇāsana]], [[Vīrabhadrāsana B]], [[Vṛkṣāsana]].","Standing leg: Intrinsic muscles of foot, hip abductors and adductors, external rotators of leg. Extended leg: hip abductors, external rotators of the leg, obliques, abdominals, back extensors, shoulder stabilizers (emphasis: protractors, retractors), elbow extensors, neck flexors and rotators.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Parighāsana]], [[Phalakāsana]], [[Prasāritapādottānāsana D]], [[Tāḍāsana]], [[Utthitapārśvakoṇāsana]], [[Utthitatrikoṇāsana]], [[Vasiṣṭhāsana]], [[Vīrabhadrāsana B]], [[Vṛkṣāsana]].","Grasp raised leg foot with same-side arm, [[Bakāsana B]] positioning; grasp foot with both hands; [[Vasiṣṭhāsana]]. Do not transition directly to [[Vīrabhadrāsana C]] or[[Parivṛttārdhacandrāsana]].","[[Bālāsana]], [[Mālāsana]], [[Prasāritapādottānāsana A]].",007
Ardha Uttanasana,अर्धोत्तानासन,Ardhottānāsana,Half Forward Bend,Ardha = half; Ut = intense; Tān = stretch; Āsana = posture,,,,,,x,Despertar,8,"Calves, knee flexors, hip extensors, back extensors, chest, shoulder elevators.","[[Rājakapotāsana]], [[Bharmanāsana]], [[Daṇḍāsana]], [[Tāḍāsana]], [[Suptapādāṅguṣṭhāsana A]], [[Uttānāsana]].","Intrinsic foot muscles, knee extensors, hip extensors, back extensors, transversus abdominis, shoulder retractors.","[[Adhomukhaśvānāsana]], [[Bharmanāsana]], [[Utkaṭāsana]], [[Uttānāsana]].","[[Uttānāsana]], [[Vīrabhadrāsana C]], [[Utkaṭāsana]], [[Paścimottānāsana A]].","[[Bālāsana]], [[Apānāsana]], [[Tāḍāsana]].",008
Anjaneyasana,अञ्जनेयासन,Añjanēyāsana,Low Lunge Pose,Añjaneya = son of Anjani (Hanuman); Āsana = posture,,,,,x,x,Vitalidad,"5,4","Back leg: knee flexors, hip flexors. Front leg: hip extensors. Abdominals, chest, shoulder elevators, shoulder extensors.","[[Adhomukhaśvānāsana]], [[Ūrdhvamukhaśvānāsana]], [[Apānāsana]], [[Rājakapotāsana]], [[Bharmanāsana]], [[Tāḍāsana]], [[Utkaṭāsana]]. In itself an  pose.","Front leg: hip extensors, internal rotators of the leg. Rear leg: hip flexors, foot dorsiflexors. Intrinsic foot muscles, pelvic floor, hip abductors and adductors, transversus abdominis, shoulder flexors and protractors, external rotators of the arm, elbow extensors.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Rājakapotāsana]], [[Bharmanāsana]], [[Phalakāsana]], [[Śalabhāsana A]] and [[Śalabhāsana B]], [[Utkaṭāsana]], [[Anāhatāsana]], [[Uttānāsana]].","Back bends, arm balances with extended hips; [[Ālāsana]], [[Vṛkṣāsana]], [[Hanumānāsana]], [[Vajrāsana A]], [[Vīrabhadrāsana A]] and [[Virabhadrāsana C]]","[[Adhomukhaśvānāsana]], [[Bālāsana]], [[Uttānāsana]].",009
Astavakrasana,अष्टवक्रासन​,Aṣṭavakrāsana,Eight-Angle Pose,Named after Sage Aṣṭavakra (a sage with eight bends),tṛtīya śreṇī,Kouṇḍinyāsana B,Aṣṭavakrāsana,x,,,,"10,4","Wrist flexors, shoulder elevators and flexors, chest, obliques, knee flexors, hip extensors and abductors.","[[Adhomukhaśvānāsana]], [[Ūrdhvamukhaśvānāsana]], [[Bālāsana]], [[Supta Matsyendrāsana]], [[Marīchyāsana A]] and [[Marīchyāsana B]], [[Parivṛttapārśvakoṇāsana]], [[Parivṛttotkaṭāsana]], [[Uttānāsana]], [[Utthitapārśvakoṇāsana]].","Wrist synergists, elbow synergists, rotators of the arm, chest, shoulder stabilizers (emphasis adductors, protractors, retractors) obliques, abdominals, hip adductors and flexors, knee extensors, foot dorsiflexors.","[[Adhomukhaśvānāsana]], [[Ūrdhvamukhaśvānāsana]], [[Bakāsana B]], [[Bharmanāsana]], [[Chaturāṅgadaṇḍāsana]], [[Garuḍāsana]], [[Lolasana]], [[Marīchyāsana A]] and [[Marīchyāsana C]], [[Parivṛttapārśvakoṇāsana]], [[Parivṛttotkaṭāsana]], [[Pārśvabakāsana]], [[Utkaṭāsana]].",,"[[Vinyāsa]], [[Ūrdhvamukhaśvānāsana]], [[Adhomukhaśvānāsana]],[[Suptakoṇāsana]], [[Bālāsana]], [[Bhuja]].",010
